"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YJL020C",4.0921248327725,4.51606945910857,94.4400264297518,1.2741572144113e-07,4.1732396293189e-06,"BBC1"
"YNR074C",8.83795116521853,0.319321048906848,83.1208648301539,1.30768526306211e-07,4.25800675130398e-06,"AIF1"
"YHR007C",-4.77512851938898,5.13681697003077,93.8884012506243,1.32117335376709e-07,4.27691467079952e-06,"ERG11"
"YLR079W",4.48133395468259,2.27496606328852,93.8095878765266,1.33284960457063e-07,4.28977260014408e-06,"SIC1"
"YLR307C-A",7.12440222575132,-0.13990025801467,78.8326639716486,1.34704700816097e-07,4.31055042611509e-06,NA
"YNL200C",3.22153256630376,4.31526566921419,93.3618209092484,1.36788217119919e-07,4.35221024527833e-06,"NNR1"
"YGL222C",3.53815139550528,2.86114758172132,93.2599368111853,1.37851751613128e-07,4.36112814194259e-06,"EDC1"
"YKL182W",-5.24593514680157,6.65799398682073,92.9153360871422,1.40856897774132e-07,4.4310237672676e-06,"FAS1"
"YKL070W",-5.4500934985419,1.66763189031451,93.185385154758,1.43904955867476e-07,4.50147637230396e-06,NA
"YLR109W",3.75785890649751,4.22930086985989,92.3126653664327,1.46659841490174e-07,4.56202233194017e-06,"AHP1"
"YIR031C",-4.84478427916044,2.93556629070059,91.9403544421585,1.50888618097117e-07,4.66748791980414e-06,"DAL7"
"YOR020C",2.86656760086713,4.60333037266092,91.5049838401379,1.54799901240047e-07,4.74289711671138e-06,"HSP10"
"YOL123W",3.01946115387791,4.11324036109189,91.4835123874883,1.55030042248827e-07,4.74289711671138e-06,"HRP1"
"YFL015C",6.01012781614564,0.2603159510439,90.7547457933754,1.67757903115852e-07,5.10424046201674e-06,NA
"YFL054C",-8.65970834709717,0.425376890766708,70.4703750468908,1.69211793879393e-07,5.12049602348076e-06,"AQY3"
"YBL049W",-3.35317826095086,4.06014170947169,89.7298214824194,1.74725644778478e-07,5.25876967635982e-06,"MOH1"
"YBR052C",3.31355285606819,4.01516617729154,89.3700788185515,1.790023754862e-07,5.30278570258189e-06,"RFS1"
"YDR461W",3.82944826727481,1.22464351036168,89.4328110951105,1.80793589420662e-07,5.30278570258189e-06,"MFA1"
"YGR248W",3.85809863087395,3.28479390927261,89.2046924605545,1.81389917632868e-07,5.30278570258189e-06,"SOL4"
"YBR114W",2.94946321617477,2.97490065817928,89.1800878465524,1.81471920644158e-07,5.30278570258189e-06,"RAD16"
"YDR405W",4.42954410861924,2.87396771789359,89.1911438903431,1.81516655675607e-07,5.30278570258189e-06,"MRP20"
"YKR015C",4.21322087608408,2.31502915447988,89.1789594070826,1.81902311277504e-07,5.30278570258189e-06,NA
"YNL331C",-5.9066204601295,3.86700931085443,88.9829672369992,1.84629617312722e-07,5.35425890206893e-06,"AAD14"
"YOR027W",2.91008901504301,4.64076101752227,88.7248821963887,1.87085527106904e-07,5.37987932795458e-06,"STI1"
