"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YLR159C-A",-3.87470710459057,9.8337007075297,78.2745451907729,4.00785677881468e-07,1.4964979519763e-05,NA
"YLR156C-A",-3.8742185535471,9.83378364738899,78.2508932530097,4.01516510148133e-07,1.4964979519763e-05,NA
"YLR154C-H",-3.87302735185111,9.83426324724084,78.1981612652068,4.0315138792465e-07,1.4964979519763e-05,NA
"YML133C",2.0001972675127,3.53482839167301,77.8355379529966,4.14887728261171e-07,1.52986415295245e-05,NA
"YBR162C",-2.64204333449643,3.64648018902928,77.5762628618338,4.23355992674306e-07,1.55081984684904e-05,"TOS1"
"YOR384W",3.69775130473133,0.471199877063729,92.9684460163311,4.49647443569842e-07,1.6363640299326e-05,"FRE5"
"YPR006C",-2.05959968419847,2.38384826345541,76.6403287922705,4.56398250371754e-07,1.64177094671081e-05,"ICL2"
"YBL015W",-1.58405178628766,4.09869526041132,76.5901850367976,4.57030346156925e-07,1.64177094671081e-05,"ACH1"
"YOR161C",2.47483342096554,2.58575970460214,76.274468445139,4.69742832774454e-07,1.6766205723642e-05,"PNS1"
"YNL339C",2.26615436595034,2.99670556743174,75.4514257130508,5.00882895531467e-07,1.77637959383389e-05,"YRF1-6"
"YLR024C",1.44026145294512,3.79335893975473,75.0910131048079,5.14594277945113e-07,1.79353421207371e-05,"UBR2"
"YBR299W",-2.87722305325892,0.950763875422508,75.586626519277,5.14719463541959e-07,1.79353421207371e-05,"MAL32"
"YNR001C",-1.55505969261867,6.4461320753207,75.067032378104,5.15383394274055e-07,1.79353421207371e-05,"CIT1"
"YBR294W",-1.98883105881333,3.00894578219243,74.7497605956695,5.29345040271314e-07,1.82628141454265e-05,"SUL1"
"YER065C",-1.57140961086608,3.54634623762217,74.5930981190248,5.35631481765848e-07,1.82628141454265e-05,"ICL1"
"YNCL0031W",-3.84972577317806,9.76612307325609,74.3645669434817,5.45230350497763e-07,1.82628141454265e-05,NA
"YNCL0030W",-3.85146507368696,9.76503343847101,74.3608618494405,5.45392933230986e-07,1.82628141454265e-05,NA
"YNCL0029W",-3.85077528563148,9.76524458355545,74.3570501482329,5.45560250968441e-07,1.82628141454265e-05,NA
"YNCL0028W",-3.84968872273927,9.76626420139789,74.3527896703193,5.45747337250253e-07,1.82628141454265e-05,NA
"YNCL0027W",-3.84622297878704,9.76785358743833,74.3072146479554,5.47753225985314e-07,1.82628141454265e-05,NA
"YOR387C",4.65314698777559,-0.430960677065596,68.4846971025916,5.59739492705729e-07,1.84616078296451e-05,NA
"YNCL0018W",-3.84475421054694,9.77092638553163,74.0253663167623,5.60346933047778e-07,1.84616078296451e-05,NA
"YKL043W",1.4466806104735,3.95943345398742,73.4543589942344,5.87079989839235e-07,1.92285963730874e-05,"PHD1"
"YFL021W",1.64206933202096,3.44546676565034,73.3294009909469,5.93258603710105e-07,1.93173327804553e-05,"GAT1"
"YLR174W",-2.55336057000063,3.71183057469058,73.1417900108938,6.02402479241352e-07,1.9501029095441e-05,"IDP2"
"YOR020C",-1.58238419282438,4.60333037266092,72.7427288519219,6.22119493753471e-07,2.00228979261233e-05,"HSP10"
"YCR079W",1.84318568507484,2.20533982259797,71.8183070312093,6.73944358841085e-07,2.15662194829147e-05,"PTC6"
"YEL071W",-2.16859570600781,3.74015379411364,59.3410692371536,7.08514317555332e-07,2.25429012579891e-05,"DLD3"
"YNL195C",1.98880527828102,3.40573223437308,70.9803173165156,7.2059452010296e-07,2.27969902723482e-05,NA
"YOR274W",1.83534160550528,2.34246330795958,70.8900147549762,7.27772407979038e-07,2.28939930374423e-05,"MOD5"
"YMR184W",-2.33132216929907,1.96088460491153,70.6477709322276,7.43743237913789e-07,2.32649570151909e-05,"ADD37"
