"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YDR001C",-1.45824778670515,5.07994056372104,67.4719308842231,9.71680142445779e-07,3.49397301930811e-05,"NTH1"
"YPR002W",2.30559208501508,2.00208163797763,67.7261938077742,9.71967946967216e-07,3.49397301930811e-05,"PDH1"
"YDL022W",-1.48724152672081,4.23257364281456,67.3820114952713,9.79512095743966e-07,3.49397301930811e-05,"GPD1"
"YMR058W",2.45134764682132,1.95953185908635,67.4235630910402,9.84079331021908e-07,3.49397301930811e-05,"FET3"
"YER043C",2.26254495458768,4.09226287171006,67.2722034593573,9.89276237801136e-07,3.49397301930811e-05,"SAH1"
"YLR023C",1.87311165530928,3.06297129767637,67.2648457405566,9.91465044990448e-07,3.49397301930811e-05,"IZH3"
"YMR241W",2.23577376473609,3.41286173898569,66.7696975361515,1.03424285405477e-06,3.58824803207487e-05,"YHM2"
"YER103W",-2.12380821114595,6.25486077461472,66.7334646177543,1.03685934411608e-06,3.58824803207487e-05,"SSA4"
"YGL253W",2.45362145421014,3.63934667180194,66.7456461767595,1.0375501673205e-06,3.58824803207487e-05,"HXK2"
"YJR127C",-1.43620218627348,4.08816044297172,65.13282875167,1.19585450154332e-06,4.11019621271187e-05,"RSF2"
"YGL222C",-1.81684567016862,2.86114758172132,65.0455173103419,1.20625433345382e-06,4.12050560041158e-05,"EDC1"
"YBR059C",-1.38330188489015,3.82858301108534,64.7043273946156,1.24312272054877e-06,4.22055323659484e-05,"AKL1"
"YIR031C",2.19885127365904,2.93556629070059,64.6606298066812,1.25142170305415e-06,4.22297941976091e-05,"DAL7"
"YKL129C",-1.90805542256611,3.43956557951883,64.5630170050048,1.25945142624292e-06,4.22447321766299e-05,"MYO3"
"YKL043W",-1.35930616117229,3.95943345398742,64.3664941416178,1.28173579413584e-06,4.25132650953342e-05,"PHD1"
"YHR146W",-2.84003786340514,4.32743431643407,64.3601464061049,1.28272782615232e-06,4.25132650953342e-05,"CRP1"
"YDR135C",1.9917158578024,4.82989549222436,64.1795612822497,1.30352727559657e-06,4.29469814823769e-05,"YCF1"
"YAL038W",1.53104101515645,6.73523984009026,64.0079199254069,1.32393216566806e-06,4.32040089361631e-05,"CDC19"
"YDL223C",-1.60464189628282,5.53647625193741,63.9265651908561,1.33381683037213e-06,4.32040089361631e-05,"HBT1"
"YJR010W",-1.54728355272619,2.90284191410021,63.94104354871,1.33460659788435e-06,4.32040089361631e-05,"MET3"
"YKL070W",2.47323806815426,1.66763189031451,64.1406628951977,1.34868685873073e-06,4.32678173852375e-05,NA
"YGL209W",-1.6300380404836,2.2316325951262,63.7999707654685,1.35211929328867e-06,4.32678173852375e-05,"MIG2"
"YDR358W",-1.69398820634557,3.00151178000961,63.4955824353908,1.38868704941772e-06,4.40892335417087e-05,"GGA1"
"YNR043W",2.11109463111123,2.38889486484343,63.4113096287085,1.40629037429901e-06,4.40892335417087e-05,"MVD1"
"Q0250",2.43218678367242,7.27848845945023,63.2936536822873,1.41355135339846e-06,4.40892335417087e-05,"COX2"
"Q0120",2.41796709414853,6.95793129960139,63.2712374056519,1.41647798661967e-06,4.40892335417087e-05,"BI4"
"YHL034C",-1.49712866901778,5.04702727101085,63.2652864678775,1.41738017312605e-06,4.40892335417087e-05,"SBP1"
